location,off_time,horse_name,jockey,trainer,trainer_win_pct,trainer_runs,age,distance_f,race_class,field_size,form_string,odds,status,going,distance,cd_winner,rp_or,rp_rpr,rp_ts
Clairefontaine,12:30,Whiskey Bent,Cristian Demuro,Dylan Cunha,17.0,23.0,2.0,7.0,,11,73,5.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,12:30,Golden Paco,Marvin Grandin,J Leroy,0.0,7.0,2.0,7.0,,11,9,7.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,12:30,March Madness,Leo-Paul Brechet,C Lerner,14.0,21.0,2.0,7.0,,11,6,10.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,12:30,Gouyar,Jerome Moutard,G Mosse,6.0,18.0,2.0,7.0,,11,0,12.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,12:30,Magiel,Ludovic Boisseau,F Bresson,0.0,4.0,2.0,7.0,,11,44,15.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,12:30,Incredible,Augustin Madamet,F Bellemere,0.0,11.0,2.0,7.0,,11,36,17.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,12:30,Olga D'argent,Maxime Guyon,M Brasme,20.0,15.0,2.0,7.0,,11,5,20.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,12:30,Appen,Mme Ambre Molins,G Pannier,0.0,8.0,2.0,7.0,,11,423441,22.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,12:30,Nogai Khan,Pierre-Charles Boudot,A Fabre,24.0,34.0,2.0,7.0,,11,,25.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,12:30,All Wootton,Tony Piccone,H-A Pantall,21.0,29.0,2.0,7.0,,11,,27.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,12:30,New Eve,Ronan Thomas,M Blancpain,11.0,9.0,2.0,7.0,,11,,30.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,1:05,Mont De Soleil,Pierre-Charles Boudot,F-H Graffard,25.0,36.0,6.0,9.0,Class 2,5,-45214,5.0,Active,Very Soft,1m208y,0,0.0,0.0,0.0
Clairefontaine,1:05,C'Est Vrai,Maxime Guyon,G Mosse,6.0,18.0,4.0,9.0,Class 2,5,11-433,7.5,Active,Very Soft,1m208y,0,0.0,0.0,0.0
Clairefontaine,1:05,Batal Youmzain,Alexis Pouchin,A Schutz,14.0,7.0,4.0,9.0,Class 2,5,15051-,10.0,Active,Very Soft,1m208y,0,0.0,0.0,0.0
Clairefontaine,1:05,Dioptase,Cristian Demuro,Leonardo D Racco,0.0,5.0,4.0,9.0,Class 2,5,060052,12.5,Active,Very Soft,1m208y,0,104.0,0.0,0.0
Clairefontaine,1:05,Ciaran,Clement Lecoeuvre,Maurizio Guarnieri,0.0,7.0,4.0,9.0,Class 2,5,42036-,15.0,Active,Very Soft,1m208y,0,0.0,0.0,0.0
Clairefontaine,1:05,Soldier's Gold,Christophe Soumillon,A De Mieulle,0.0,4.0,5.0,9.0,Class 2,5,31-163,17.5,Active,Very Soft,1m208y,0,94.0,0.0,0.0
Clairefontaine,1:05,Grecian Comet,Marvin Grandin,J-C Rouget,0.0,12.0,4.0,9.0,Class 2,5,1-7173,20.0,Active,Very Soft,1m208y,0,0.0,0.0,0.0
Clairefontaine,1:40,Extravagante,Glen Meury,M Delcher Sanchez,6.0,16.0,3.0,12.0,,10,3-6030,5.0,Active,Very Soft,1m3f204y,0,0.0,0.0,0.0
